time,lat,long,photo,lux
2018-04-28-00-37-58,-49.82683788207915,-66.94853752741368,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-37-58LuxQuest.jpg,5.231350911458334
2018-04-28-00-38-01,-49.879160546216035,-66.67153237543464,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-38-01LuxQuest.jpg,5.423802083333333
2018-04-28-00-38-04,-49.93076262539548,-66.39389884605195,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-38-04LuxQuest.jpg,5.309677734375
2018-04-28-00-38-06,-49.96475989198922,-66.20846604027528,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-38-06LuxQuest.jpg,5.378154296875
2018-04-28-00-38-09,-50.0151461974964,-65.9298079825171,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-38-09LuxQuest.jpg,5.565240885416666
2018-04-28-00-38-12,-50.06480167276239,-65.65054203792279,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-38-12LuxQuest.jpg,5.38783203125
2018-04-28-00-38-14,-50.09750120341383,-65.46403006225725,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-38-14LuxQuest.jpg,5.219013671875
2018-04-28-00-38-17,-50.1459306597238,-65.18376691004411,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-38-17LuxQuest.jpg,5.13470703125
2018-04-28-00-38-20,-50.19362587069801,-64.90291636156236,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-38-20LuxQuest.jpg,5.436897786458333
2018-04-28-00-38-22,-50.225010589934215,-64.71535936695382,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-38-22LuxQuest.jpg,5.50869140625
2018-04-28-00-38-25,-50.27146612157406,-64.43353893160992,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-38-25LuxQuest.jpg,5.301318359375
2018-04-28-00-38-28,-50.31717716259436,-64.15115159056491,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-38-28LuxQuest.jpg,5.626337890625
2018-04-28-00-38-30,-50.34723682513159,-63.96257689777003,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-38-30LuxQuest.jpg,5.503362630208334
2018-04-28-00-38-33,-50.39169794153379,-63.67925382080873,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-38-33LuxQuest.jpg,5.5587760416666665
2018-04-28-00-38-36,-50.435407737127285,-63.39538432871383,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-38-36LuxQuest.jpg,5.5461328125
2018-04-28-00-38-38,-50.46412868258719,-63.205826088678464,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-38-38LuxQuest.jpg,5.384521484375
2018-04-28-00-38-41,-50.50657830827882,-62.92105501161313,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-38-41LuxQuest.jpg,5.405315755208333
2018-04-28-00-38-44,-50.54826636787799,-62.63574434960335,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-38-44LuxQuest.jpg,5.338984375
2018-04-28-00-38-46,-50.57563835097682,-62.445250373651696,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-38-46LuxQuest.jpg,5.550257161458333
2018-04-28-00-38-49,-50.61605599539037,-62.159079107806505,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-38-49LuxQuest.jpg,5.547760416666667
2018-04-28-00-38-52,-50.65571207371146,-61.87239557777356,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-38-52LuxQuest.jpg,5.2868880208333335
2018-04-28-00-38-54,-50.681718018976284,-61.68099318666229,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-38-54LuxQuest.jpg,5.249641927083333
2018-04-28-00-38-57,-50.72009002173342,-61.39348320373977,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-38-57LuxQuest.jpg,5.479694010416667
2018-04-28-00-39-00,-50.75769021311434,-61.105481447197015,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-39-00LuxQuest.jpg,5.5032421875
